time_s,ambient_temp,voltage_V,current_A,SOC_percent,coolant_flow,fan_speed,system_temp,overheat_risk
0.0,20.67,high,high,76.3,weak,medium,hot,1
,34.11,3.589,high,low,weak,2804,42.8,1
120.0,,4.084,medium,86.2,strong,medium,,1
180.0,41.67,4.185,1.414,low,strong,fast,26.02,0
240.0,medium,4.003,1.028,,1.32,,warm,0
300.0,25.29,3.765,low,64.6,normal,2804,42.88,1
360.0,,medium,2.204,70.5,weak,medium,hot,1
,38.8,3.693,1.854,medium,normal,fast,45.75,1
480.0,26.31,,0.732,,strong,fast,44.76,1
,low,high,2.281,42.9,1.32,2804,50.95,1
600.0,21.3,4.036,low,medium,strong,slow,33.26,0
660.0,25.61,3.511,0.841,24.4,normal,,36.02,0
,high,,,31.4,normal,fast,cool,1
780.0,low,3.813,2.257,56.1,weak,fast,hot,1
840.0,24.98,4.111,medium,29.1,1.32,2804,40.29,1
900.0,low,low,medium,,1.32,2804,hot,1
960.0,medium,3.664,1.413,30.8,normal,slow,39.38,0
1020.0,34.1,low,1.88,56.1,strong,fast,27.84,0
1080.0,high,medium,1.343,high,1.32,slow,36.52,0
,medium,high,0.834,91.7,normal,medium,46.08,1
1200.0,,,high,27.2,normal,2804,cool,1
1260.0,37.96,4.073,low,71.9,normal,,cool,1
1320.0,24.09,low,high,,weak,2804,50.87,1
1380.0,34.47,3.865,,27.3,1.32,medium,37.16,0
1440.0,34.39,3.693,1.723,,strong,slow,36.81,0
1500.0,29.38,3.914,1.723,high,1.32,slow,48.5,1
,24.96,3.623,2.26,83.3,1.32,2804,26.92,0
,40.76,3.889,2.284,96.0,normal,slow,41.17,1
1680.0,high,medium,1.476,50.4,strong,fast,44.55,1
1740.0,41.26,3.97,1.381,93.0,1.32,fast,31.22,0
1800.0,23.03,3.723,high,72.8,weak,2804,28.52,0
1860.0,39.57,3.604,1.909,low,1.32,2804,45.86,1
1920.0,30.71,4.028,2.035,high,normal,2804,warm,1
1980.0,32.65,4.095,,medium,1.32,2804,28.69,0
2040.0,41.24,3.995,1.84,81.5,1.32,fast,cool,0
2100.0,22.64,4.14,1.546,70.1,normal,,27.63,0
2160.0,35.89,4.177,0.69,low,strong,fast,cool,0
2220.0,37.68,3.594,0.997,20.3,weak,,cool,1
2280.0,38.34,low,,21.0,weak,2804,35.91,0
2340.0,26.75,3.555,,59.9,weak,fast,37.69,0
2400.0,,3.76,,68.6,normal,fast,,0
,30.89,4.081,high,37.3,normal,2804,,1
2520.0,26.71,medium,1.511,56.3,1.32,fast,48.48,1
2580.0,40.77,3.922,1.492,68.1,normal,2804,,1
,medium,3.632,medium,high,1.32,2804,,1
2700.0,medium,4.007,1.162,high,strong,medium,54.58,1
2760.0,,3.836,high,86.0,weak,2804,41.15,1
2820.0,32.36,3.733,,low,weak,2804,cool,1
2880.0,32.19,3.511,,medium,normal,slow,26.34,0
2940.0,26.46,4.173,medium,low,1.32,slow,cool,0
3000.0,high,medium,1.396,87.0,1.32,medium,cool,0
3060.0,26.91,3.987,1.394,low,1.32,fast,43.06,1
3120.0,low,3.778,medium,medium,weak,fast,warm,1
3180.0,high,medium,0.536,32.9,strong,slow,hot,0
3240.0,33.88,3.766,0.572,high,normal,2804,27.23,0
3300.0,,,2.152,67.6,1.32,fast,warm,1
3360.0,32.27,high,2.426,34.2,weak,medium,29.9,0
3420.0,22.33,3.826,2.28,66.3,strong,slow,53.34,1
3480.0,high,4.006,,27.5,,medium,53.21,1
3540.0,high,3.724,1.182,medium,normal,medium,cool,0
3600.0,,medium,2.133,85.6,weak,2804,hot,1
3660.0,30.64,3.894,1.164,87.5,weak,slow,hot,0
3720.0,28.27,low,1.7,medium,normal,,30.78,0
3780.0,26.77,high,1.227,high,strong,2804,44.72,1
3840.0,low,3.905,0.695,46.3,normal,slow,43.15,1
3900.0,27.89,3.607,0.504,36.8,strong,slow,29.6,0
3960.0,,3.766,1.767,low,strong,medium,38.01,0
,24.79,3.85,,high,normal,fast,hot,1
4080.0,26.91,,0.713,62.3,1.32,fast,warm,1
4140.0,39.01,medium,1.485,high,normal,medium,cool,1
4200.0,44.51,3.949,1.985,94.7,normal,medium,37.2,0
4260.0,27.41,3.618,1.009,,normal,fast,27.67,0
4320.0,27.56,3.618,low,45.3,1.32,2804,48.34,1
4380.0,23.16,3.842,1.286,99.6,weak,2804,cool,0
4440.0,low,3.879,2.063,30.4,weak,2804,cool,1
4500.0,37.44,,0.716,61.6,,slow,54.06,1
4560.0,medium,low,2.353,59.4,normal,slow,28.15,0
4620.0,low,3.968,1.678,high,1.32,medium,,0
4680.0,31.73,,1.401,medium,weak,fast,34.2,0
4740.0,,3.662,2.412,20.1,weak,slow,,1
4800.0,medium,3.506,medium,high,strong,2804,,0
4860.0,low,3.761,,79.0,normal,2804,41.55,1
4920.0,21.85,3.967,medium,high,weak,2804,51.9,1
4980.0,21.34,3.838,1.466,53.1,normal,fast,warm,0
5040.0,high,3.505,2.342,64.8,weak,medium,hot,1
5100.0,22.13,3.508,high,20.9,,,48.66,1
5160.0,high,3.692,,medium,strong,,51.46,1
5220.0,35.16,3.512,high,low,weak,slow,42.77,1
,25.64,3.972,2.265,60.5,,medium,hot,0
,31.26,4.137,1.269,20.5,,medium,29.66,0
5400.0,41.5,low,2.332,47.3,weak,slow,warm,0
5460.0,27.63,3.669,1.047,69.3,strong,2804,33.02,0
